Country,Confirmed,Recovered,Deaths
Afghanistan,81771,9722,2370
Albania,29627,16609,1253
Algeria,148216,58626,16347
Andorra,32432,13088,1609
Angola,1206,298,94
Antigua and Barbuda,1028,363,104
Argentina,162862,43964,7640
Armenia,82234,29516,1123
Australia,321045,178942,3358
Austria,722832,436805,20835
Azerbaijan,69475,38392,875
Bahamas,2932,729,389
Bahrain,118771,53258,348
Bangladesh,253125,29465,5163
Barbados,3488,1262,220
Belarus,440689,91878,2851
Belgium,1807265,408687,252787
Belize,681,274,74
Benin,4101,1306,53
Bhutan,338,143,0
Bolivia,46800,4250,2354
Bosnia and Herzegovina,64572,23140,2653
Botswana,770,163,45
Brazil,3069989,1207729,204003
Brunei,7734,5073,48
Bulgaria,55036,9176,2371
Burkina Faso,27234,15871,1678
Burma,4836,1019,195
Burundi,391,139,32
Cabo Verde,4524,649,65
Cambodia,6550,4424,0
Cameroon,64542,25800,2237
Canada,1911704,714865,105252
Central African Republic,2060,271,0
Chad,4203,932,354
Chile,642833,276878,7458
China,7862757,5824624,329002
Colombia,246648,50379,10164
Comoros,104,3,9
Congo (Brazzaville),7415,828,302
Congo (Kinshasa),21682,2377,1241
Costa Rica,31668,9858,237
Cote d'Ivoire,44500,16884,501
Croatia,86155,40844,2277
Cuba,50528,21512,1905
Cyprus,34349,7817,612
Czechia,322290,96289,8443
Denmark,380249,218083,16777
Diamond Princess,63372,37068,812
Djibouti,32791,15796,78
Dominica,763,397,0
Dominican Republic,253164,44010,10958
Ecuador,755273,68631,38109
Egypt,206617,49013,13190
El Salvador,15839,4749,402
Equatorial Guinea,8750,311,59
Eritrea,1638,598,0
Estonia,72561,11461,1794
Eswatini,2982,494,38
Ethiopia,5489,1843,131
Fiji,763,296,0
Finland,192124,89712,6502
France,6570276,1760747,872040
Gabon,11518,1982,157
Gambia,533,225,53
Georgia,19664,6662,239
Germany,6905256,4216688,221985
Ghana,76510,7380,571
Greece,115316,30670,5507
Grenada,774,289,0
Guatemala,20895,2175,538
Guinea,43560,11455,230
Guinea-Bissau,9468,422,34
Guyana,3060,691,340
Haiti,3554,255,273
Holy See,468,74,0
Honduras,36917,3128,2556
Hungary,96506,19007,9991
Iceland,86644,56973,401
India,1277357,337863,41720
Indonesia,359645,53215,28037
Iran,4242146,2772309,266490
Iraq,85286,49071,4246
Ireland,702974,327103,36537
Israel,622860,253578,7483
Italy,9163105,2760377,1179846
Jamaica,12179,1542,284
Japan,498386,121486,15033
Jordan,21396,12281,340
Kazakhstan,113156,32758,868
Kenya,16010,4545,715
"Korea, South",724659,415333,12800
Kosovo,25800,10353,704
Kuwait,159695,46612,965
Kyrgyzstan,26624,13594,309
Laos,819,221,0
Latvia,36253,9489,429
Lebanon,35293,6140,1082
Lesotho,2,0,0
Liberia,4711,1387,474
Libya,2104,641,80
Liechtenstein,4213,2145,41
Lithuania,57378,16894,1574
Luxembourg,170578,82705,3486
Madagascar,5874,2427,0
Malawi,1205,262,95
Malaysia,264265,147510,4157
Maldives,12831,879,36
Mali,15135,5579,870
Malta,19664,9168,139
Mauritania,382,199,48
Mauritius,14403,8457,421
Mexico,669557,367105,62330
Moldova,130520,35722,3755
Monaco,4376,1748,129
Mongolia,1563,356,0
Montenegro,13419,5816,248
Morocco,154556,40679,6363
Mozambique,2365,515,0
MS Zaandam,404,0,88
Namibia,793,291,0
Nepal,2606,555,0
Netherlands,1537470,9657,174962
New Zealand,63382,39797,565
Nicaragua,547,210,131
Niger,26338,12495,1108
Nigeria,71913,13526,2253
North Macedonia,53830,20908,2563
Norway,364041,1467,7555
Oman,78044,19846,372
Pakistan,618012,145979,12951
Panama,231484,42712,6391
Papua New Guinea,263,88,0
Paraguay,13359,3341,372
Peru,1251431,397345,34627
Philippines,319455,36965,20338
Poland,464930,101790,20184
Portugal,954205,51056,34259
Qatar,449477,48230,399
Romania,441041,137703,24556
Russia,3702946,502259,33924
Rwanda,8650,3406,0
Saint Kitts and Nevis,620,189,0
Saint Lucia,758,479,0
Saint Vincent and the Grenadines,582,211,0
San Marino,24106,3259,1986
Sao Tome and Principe,2219,68,54
Saudi Arabia,762759,170710,5663
Senegal,35384,13827,322
Serbia,293663,48896,6020
Seychelles,590,192,0
Sierra Leone,4725,895,244
Singapore,501692,60249,578
Slovakia,51864,17034,621
Slovenia,65516,8324,3217
Somalia,18470,1439,845
South Africa,223264,73491,3772
South Sudan,1673,15,0
Spain,9092332,3979212,968101
Sri Lanka,21971,6132,318
Sudan,18480,1829,1135
Suriname,528,260,42
Sweden,770422,70585,83068
Switzerland,1344961,811883,64047
Syria,1614,594,119
Taiwan*,22565,10433,322
Tajikistan,6441,0,178
Tanzania,11661,3187,431
Thailand,133588,89504,2025
Timor-Leste,711,326,0
Togo,4787,2368,276
Trinidad and Tobago,5696,2145,357
Tunisia,39865,11026,1617
Turkey,4032860,1524180,101673
Uganda,3553,1402,0
Ukraine,335653,45821,8693
United Arab Emirates,416736,90997,3538
United Kingdom,6122255,30463,899225
Uruguay,27780,14694,534
US,38319507,4629821,2097510
Uzbekistan,68749,32933,293
Venezuela,13583,5854,417
Vietnam,14660,9133,0
West Bank and Gaza,15118,4671,85
Western Sahara,226,114,0
Yemen,537,21,89
Zambia,5368,2223,131
Zimbabwe,1166,147,151
